name,type_name,sphere_name,position,traits,keywords,text,flavor,shadow,german_name,german_type_name,german_sphere_name,german_position,german_traits,german_keywords,german_text,german_flavor,german_shadow
Stand Together,Event,Tactics,38,,None,<b>Action:</b> Choose a player. That player may declare any number of his eligible characters as defenders against each enemy attacking him this phase.,"...and when the task was done, there they would come to an end, alone, houseless, foodless in the midst of a terrible desert. There could be no return. -The Return of the King",None,,,,,,,,,
Blade of Gondolin,Attachment,Tactics,39,Item. Weapon.,Restricted.,"Attach to a hero. Restricted.
Attached hero gets +1 [attack] when attacking an Orc.
<b>Response:</b> After attached hero attacks and destroys an enemy, place 1 progress token on the current quest.","It was rather splendid to be wearing a blade made in Gondolin for the goblin-wars of which so many songs had sung...
-The Hobbit",None,,,,,,,,,
Citadel Plate,Attachment,Tactics,40,Item. Armor.,Restricted.,"Attach to a hero. Restricted.
Attached hero gets +4 Hit Points.","""Go to the armouries of the Citadel, and get you there the livery and gear of the Tower.""
-Denethor, The Return of the King",None,,,,,,,,,
Dwarven Axe,Attachment,Tactics,41,Item. Weapon.,Restricted.,"Attach to a hero. Restricted.
Attached hero gains +1 [attack]. (+2 [attack] instead if attached hero is a Dwarf.)","""But keep your bow ready to hand, and I will keep my axe loose in my belt.""
-Gimli, The Two Towers",None,,,,,,,,,
Horn of Gondor,Attachment,Tactics,42,Item. Artifact.,Restricted.,"Attach to a hero. Restricted.
<b>Response:</b> After a character is destroyed, add 1 resource to attached hero's pool.","'Slow should you be to wind that horn again, Boromir,' said Elrond, 'until you stand once more on the borders of your land, and dire need is on you.'
-The Fellowship of the Ring",None,,,,,,,,,
Wandering Took,Ally,Spirit,43,Hobbit.,None,<b>Action:</b> Reduce your threat by 3 to give control of Wandering Took to another player. Raise that player's threat by 3. (Limit once per round.),"...but certainly there was something not entirely hobbit-like about them, and once in a while members of the Took-clan would go and have adventures. -The Hobbit",None,,,,,,,,,
Lórien Guide,Ally,Spirit,44,Silvan. Scout.,None,"<b>Response:</b> After Lórien Guide commits to a quest, place 1 progress token on the active location.","""Indeed deep in the wood they dwell..."" -Aragorn, The Fellowship of the Ring",None,,,,,,,,,
Northern Tracker,Ally,Spirit,45,Dúnedain. Ranger.,None,"<b>Response:</b> After Northern Tracker commits to a quest, place 1 progress token on each location in the staging area.","""What roads would any dare to tread, what safety would there be in quiet lands, or in the homes of simple men at night, if the Dúnedain were asleep, or were all gone into the grave?"" -Aragorn, The Fellowship of the Ring",None,,,,,,,,,
The Galadhrim's Greeting,Event,Spirit,46,,None,"<b>Action:</b> Reduce one player's threat by 6, or reduce each player's threat by 2.","""Welcome to Caras Galadhan!"" he said. ""Here is the city of the Galadhrim where dwell the Lord Celeborn and Galadriel the Lady of Lórien."" -The Fellowship of the Ring",None,,,,,,,,,
Strength of Will,Event,Spirit,47,,None,"<b>Response:</b> After you travel to a location, exhaust a [spirit] character to place 2 progress tokens on that location.","Then Aragorn lead the way, and such was the strength of his will in that hour that all the Dúnedain and their horses followed him. -The Return of the King",None,,,,,,,,,
Hasty Stroke,Event,Spirit,48,,None,<b>Response:</b> Cancel a shadow effect just triggered during combat.,"'The hasty stroke goes oft astray,' said Aragorn. 'We must press our Enemy, and no longer wait on him for the next move.' -The Return of the King",None,,,,,,,,,
Will of the West,Event,Spirit,49,,None,<b>Action:</b> Choose a player. Shuffle that player's discard pile back into his deck. Remove Will of the West from the game.,"""If Gondor has such men still in these days of fading, great must have been its glory in the days of its rising."" -Legolas, The Return of the King",None,,,,,,,,,
A Test of Will,Event,Spirit,50,,None,<b>Response:</b> Cancel the 'when revealed' effects of a card that was just revealed from the encounter deck.,"""There is naught that you can do, other than to resist, with hope or without it""
-Elrond, The Fellowship of the Ring",None,,,,,,,,,
Stand and Fight,Event,Spirit,51,,None,<b>Action:</b> Choose an ally with a printed cost of X in any player's discard pile. Put that ally into play under your control. (The chosen ally can belong to any sphere of influence.),"""...we will fight on."" -Boromir, The Fellowship of the Ring",None,,,,,,,,,
A Light in the Dark,Event,Spirit,52,,None,<b>Action:</b> Choose an enemy engaged with a player. Return that enemy to the staging area.,"The light of the torches and the fire flickered about them...
-The Hobbit",None,,,,,,,,,
Dwarven Tomb,Event,Spirit,53,,None,<b>Action:</b> Return 1 [spirit] card from your discard pile to your hand.,"The dwarves no more shall suffer wrong,
The dwarves of yore made mighty spells,
While hammers fell like ringing bells
In places deep, where dark things sleep,
In hollow halls beneath the fells.
-The Hobbit",None,,,,,,,,,
Fortune or Fate,Event,Spirit,54,,None,"<b>Action:</b> Choose a hero in any player's discard pile. Put that card into play, under its owner's control.","'Yes, fortune or fate have helped you,' said Gandalf, 'not to mention courage.'
-The Fellowship of the Ring",None,,,,,,,,,
The Favor of the Lady,Attachment,Spirit,55,Condition.,None,"Attach to a hero.
Attached hero gains +1 [willpower].","""You are indeed high in the favor of the Lady!""
-Unnamed Elf of Lórien,
The Fellowship of the Ring",None,,,,,,,,,
Power in the Earth,Attachment,Spirit,56,Condition.,None,"Attach to a location.
Attached location gets -1 [threat].","""Power to defy our Enemy is not in him, unless shuch power is in the earth itself."" -Gandalf, The Fellowship of the Ring",None,,,,,,,,,
Unexpected Courage,Attachment,Spirit,57,Condition.,None,"Attach to a hero.
<b>Action:</b> Exhaust Unexpected Courage to ready attached hero.","""Here am I, naughty little fly;
you are fat and lazy.
You cannot trap me, though you try,
in your cobwebs crazy.""
-Bilbo Baggins, The Hobbit",None,,,,,,,,,
Daughter of the Nimrodel,Ally,Lore,58,Silvan.,None,<b>Action:</b> Exhaust Daughter of the Nimrodel to heal up to 2 damage on any 1 hero.,"""Here is Nimrodel! Of this stream the Silvan Elves made many songs long ago, and still we sing them in the North...I will bathe my feet, for it is said that the water is healing to the weary."" -Legolas, The Fellowship of the Ring",None,,,,,,,,,
Erebor Hammersmith,Ally,Lore,59,Dwarf. Craftsman.,None,"<b>Response:</b> After you play Erebor Hammersmith, return the topmost attachment in any player's discard pile to his hand.","""In Erebor in the Kingdom of Dain there is such skill..."" -Aragorn, The Return of the King",None,,,,,,,,,
Henamarth Riversong,Ally,Lore,60,Silvan.,None,<b>Action:</b> Exhaust Henamarth Riversong to look at the top card of the encounter deck.,"""And I reckon there's Elves and Elves. They're all elvish enough, but they're not all the same.""
-Sam Gamgee,
The Fellowship of the Ring",None,,,,,,,,,
Miner of the Iron Hills,Ally,Lore,61,Dwarf.,None,"<b>Response:</b> After Miner of the Iron ~Hills enters play, choose and discard 1 Condition attachment from play.","...while the four dwarves sat around the table, and talked about mines and gold and troubles with goblins...
-The Hobbit",None,,,,,,,,,
Gléowine,Ally,Lore,62,Minstrel. Rohan.,None,<b>Action:</b> Exhaust Gléowine to choose a player. That player draws 1 card.,"Then the Riders of the King's House upon white horses rode round about the barrow and sang together a song of Théoden Thengel's son that Gléowine his minstrel made...
-The Return of the King",None,,,,,,,,,
Lore of Imladris,Event,Lore,63,,None,<b>Action:</b> Choose a character. Heal all damage from that character.,"""...understanding, making and healing...These things the Elves of Middle-earth have in some measure gained, though with sorrow.""
-Elrond, The Fellowship of the Ring",None,,,,,,,,,
Lórien's Wealth,Event,Lore,64,,None,<b>Action:</b> Choose a player. That player draws 3 cards.,"""That is the fairest of all the dwellings of my people. There are no trees like the tress of that land.""
-Legolas, The Fellowship of the Ring",None,,,,,,,,,
Radagast's Cunning,Event,Lore,65,,None,"<b>Quest Action:</b> Choose an enemy in the staging area. Until the end of the phase, that enemy does not contribute its [threat].","""Radagast is, of course, a worthy Wizard, a master of shapes and changes of hue; and he has much lore of herbs and beasts, and birds are especially his friends."" -Gandalf, The Fellowship of the Ring",None,,,,,,,,,
Secret Paths,Event,Lore,66,,None,"<b>Quest Action:</b> Choose a location in the staging area. Until the end of the phase, that location does not contribute its [threat].",...Beorn advised them to take this way, for at a place a few days' ride due north of the Carrock was the gate of a little-known pathway through Mirkwood... -The Hobbit,None,,,,,,,,
Gandalf's Search,Event,Lore,67,,None,"<b>Action:</b> Look at the top X cards of any player's deck, add 1 of those cards to its owner's hand, and return the rest to the top of the deck in any order.","""Less welcome did the Lord Denethor show me then than of old, and grudgingly he permitted me to search among his hoarded scrolls and books.""
-Gandalf, The Fellowship of the Ring",None,,,,,,,,,
Beorn's Hospitality,Event,Lore,68,,None,<b>Action:</b> Choose a player. Heal all damage on each hero controlled by that player.,"""...and my house is open to you, if ever you come back this way again.""
-Beorn, The Hobbit",None,,,,,,,,,
Forest Snare,Attachment,Lore,69,Item. Trap.,None,"Attach to an enemy engaged with a player.
Attached enemy cannot attack.","""We shall have it like a coney in a trap. Then we shall learn what kind of thing it is.""
-Unidentified Man of Gondor,
The Two Towers",None,,,,,,,,,
Protector of Lórien,Attachment,Lore,70,Title.,None,"Attach to a hero.
<b>Action:</b> Discard a card from your hand to give attached hero +1 [defense] or +1 [willpower] until the end of the phase. Limit 3 times per phase.","'Speak no evil of the lady Galadriel!' said Aragorn sternly. 'There is in her and in this land no evil, unless a man bring it hither himself. Then let him beware.'
-The Fellowship of the Ring",None,,,,,,,,,
Dark Knowledge,Attachment,Lore,71,Condition.,None,"Attach to a hero. Attached hero gets -1 [willpower].
<b>Response:</b> Exhaust ~Dark Knowledge to look at 1 shadow card that was just dealt to an enemy attacking you.","'Go on then!' said Frodo. 'What do you know?'
'Too much; too many dark things,' said Strider grimly.
-The Fellowship of the Ring",None,,,,,,,,,
Self Preservation,Attachment,Lore,72,Skill.,None,"Attach to a character.
<b>Action:</b> Exhaust Self Preservation to heal 2 points of damage from attached character.","...how much more of this would they have to endure, or could they endure?
-The Two Towers",None,,,,,,,,,
Gandalf,Ally,Neutral,73,Istari.,None,"At the end of the round, discard Gandalf from play.
<b>Response:</b> After Gandalf enters play, (choose 1): draw 3 cards, deal 4 damage to 1 enemy in play, or reduce your threat by 5.",,None,,,,,,,,,
King Spider,Enemy,None,74,Creature. Spider.,None,<b>When Revealed:</b> Each player must choose and exhaust 1 character he controls.,,<b>Shadow:</b> Defending player must choose and exhaust 1 character he controls. (2 characters instead if this attack is undefended.),,,,,,,,,
Hummerhorns,Enemy,None,75,Creature. Insect.,None,"<b>Forced:</b> After Hummerhorns engages you, deal 5 damage to a single hero you control.",,<b>Shadow:</b> Deal 1 damage to each character the defending player controls. (2 damage instead if this attack is undefended.),,,,,,,,,
Ungoliant's Spawn,Enemy,None,76,Creature. Spider.,None,<b>When Revealed:</b> Each character currently committed to a quest gets -1 [willpower] until the end of the phase.,,<b>Shadow:</b> Raise defending player's threat by 4. (Raise defending player's threat by 8 instead if this attack is undefended.),,,,,,,,,
Great Forest Web,Location,None,77,Forest.,None,<b>Travel:</b> Each player must exhaust 1 hero he controls to travel here.,"As he drew nearer, he saw that it was made with spider-webs one behind and over and tangled with another.
-The Hobbit",None,,,,,,,,,
Mountains of Mirkwood,Location,None,78,Forest. Mountain.,None,"<b>Travel:</b> Reveal the top card of the encounter deck and add it to the staging area to travel here.<b>Response:</b> After Mountains of Mirkwood leaves play as an explored location, each player may search the top 5 cards of his deck for 1 card and add it to his hand. Shuffle the rest of the searched cards back into their owners' decks.",,None,,,,,,,,,
Eyes of the Forest,Treachery,None,79,,None,<b>When Revealed:</b> Each player discards all event cards in his hand.,"...he would see gleams in the darkness around them, and sometimes pairs of yellow or red or green eyes would stare at him from a little distance, and then slowly fade and disappear and slowly shine out again in another place.
-The Hobbit",None,,,,,,,,,
Caught in a Web,Treachery,None,80,,None,<b>When Revealed:</b> The player with the highest threat level attaches this card to one of his heroes. (Counts as a Condition attachment with the text: 'Attached hero does not ready during the refresh phase unless you pay 2 resources from that hero's pool.'),,None,,,,,,,,,
Wolf Rider,Enemy,None,81,Goblin. Orc.,Surge.,Surge.,,"<b>Shadow:</b> Wolf Rider attacks the defending player. That player may declare 1 character as a defender. Deal Wolf Rider its own Shadow card. After combat, return Wolf Rider to the top of the encounter deck.",,,,,,,,,
Hill Troll,Enemy,None,82,Troll.,None,Excess combat damage dealt by Hill Troll (damage that is dealt beyond the remaining hit points of the character damaged by its attack) must be assigned as an increase to your threat.,"""Mutton yesterday, mutton today, and blimey, if it don't look like mutton again tomorrow.""
-Troll, The Hobbit",None,,,,,,,,,
Goblin Sniper,Enemy,None,83,Goblin. Orc.,None,"During the encounter phase, players cannot optionally engage Goblin Sniper if there are other enemies in the staging area.<b>Forced:</b> If Goblin Sniper is in the staging area at the end of the combat phase, each player deals 1 point of damage to 1 character he controls.",,None,,,,,,,,,
Marsh Adder,Enemy,None,84,Creature.,None,"<b>Forced:</b> Each time Marsh Adder attacks you, raise your threat by 1.","Under the boughs of Mirkwood there was deadly strife of Elves and Men and fell beasts.
-The Fellowship of the Ring",None,,,,,,,,,
Wargs,Enemy,None,85,Creature.,None,"<b>Forced:</b> If Wargs is dealt a shadow card with no effect, return Wargs to the staging area after it attacks.",,<b>Shadow:</b> attacking enemy gets 1 [attack]. (2 [attack] instead if this attack is undefended.),,,,,,,,,
Despair,Treachery,None,86,,None,"<b>When Revealed:</b> Remove 4 progress tokens from the current quest card. (If there are fewer than 4 progress tokens on the quest, remove all progress tokens from that quest.)",,<b>Shadow:</b> Defending character does not count its [defense].,,,,,,,,,
The Brown Lands,Location,None,87,Wasteland.,None,"<b>Forced:</b> After the players travel to The Brown Lands, place 1 progress token on it.","They had come to the Brown Lands that lay, vast and desolate, between Southern Mirkwood and the hills of the Emyn Muil. What pestilence or war or evil deed of the Enemy had so blasted all that region even Aragorn could not tell.
-The Fellowship of the Ring",None,,,,,,,,,
The East Bight,Location,None,88,Wasteland.,None,"When faced with the option to travel, the players must travel to The East Bight if there is no active location.","""...to the east the lands are waste, and full of Sauron's creatures...""
-Haldir, The Fellowship of the Ring",None,,,,,,,,,
